Date,Tweets,clean_tweets,sentiment
3/1/2012,How will Infosys reboot. A behind-the-scenes account of the Vishal Sikka-Narayana Murthy showdown.,How will Infosys reboot . A behind-the-scenes account of the Vishal Sikka-Narayana Murthy showdown .,0.5
4/1/2012,@PankajPachauri  @Nidhi must also ask what is the role of @jayantsinha  for exit of vishal sikka from Infosys?,must also ask what is the role of for exit of vishal sikka from Infosys ?,0.5
5/1/2012,Infosys CEO Vishal Sikka resigns: A timeline of events that led to the move,Infosys CEO Vishal Sikka resigns : A timeline of events that led to the move,0.5
6/1/2012,Vishal Sikka Resigns as Infosys CEO says Attrition is far lower than other fi,Vishal Sikka Resigns as Infosys CEO says Attrition is far lower than other fi,0.49375
9/1/2012,@himanshumantri1: Demonetization of Vishal Sikka ?\n#Infosys #VishalSikka,: Demonetization of Vishal Sikka ? \n,0.5
10/1/2012,"Translating names of ppl from ""Sikka"" community to English \nu get names of new altcoins.\n@Infosys\' ex CEO Vishal Sikka is ""BigCoin"" !",Translating names of ppl from `` Sikka '' community to English \nu get names of new altcoins.\n\ ' ex CEO Vishal Sikka is `` BigCoin '' !,0.5426136363636364
11/1/2012,@Finacle: Mediterranean Bank goes live with Infosys Finacle lending solution \n\n#BankingTechnology #FinTech #FinServ,: Mediterranean Bank goes live with Infosys Finacle lending solution \n\n,0.5681818181818181
12/1/2012,@ThePrintIndia: I am surprised that a company like Infosys (which should have had everything together didn't handle GST back-end better\xc3\xa2\xe2\x82\xac\xc2\xa6,: I am surprised that a company like Infosys ( which should have had everything together did n't handle GST back-end better\xc3\xa2\xe2\x82\xac\xc2\xa6,0.55
1/13/2012,@craigbrownphd: Huawei and Infosys Sign a MoU to Cooperate in IT and Software Talent Development,: Huawei and Infosys Sign a MoU to Cooperate in IT and Software Talent Development,0.5
1/17/2012,@InfosysEvents: Take a spin at #InfosysAtOOW booth 1602 &amp; stand a chance to win! https://t.co/Rha97Tgff5 #OOW17 https://t.co/gswDTNV0uN,: Take a spin at booth & amp ; stand a chance to win !,1.0
1/18/2012,@InfosysEvents: Visit #InfosysAtOOW booth 1602 and experience #VirtualReality at its best! See the future of learning. https://t.co/7ScY\xc3\xa2\xe2\x82\xac\xc2\xa6,: Visit booth and experience at its best ! See the future of learning .,0.75
1/19/2012,@theBigOldBaby @Infosys Calls for party ain't it ?? ????? Once again Congratulations Shalin,Calls for party ai n't it ? ? ? ? ? ? ? Once again Congratulations Shalin,0.5
1/20/2012,"Infosys rolls out ""driver-less golfing cart"" to showcase the power of AI",Infosys rolls out `` driver-less golfing cart '' to showcase the power of AI,0.5
1/23/2012,Infosys introduces private cloud services built with Suse OpenStack - https://t.co/d11Kkrqhfp,Infosys introduces private cloud services built with Suse OpenStack -,0.5
1/24/2012,Cma Cgm Group Signs Strategic Partnership With Infosys To Accelerate Of Its. [https://t.co/dtQ8HjnWsK] https://t.co/YBKA9ScMbZ,Cma Cgm Group Signs Strategic Partnership With Infosys To Accelerate Of Its . [ ],0.5
1/25/2012,@BankingTechno: Malta's @MedBankMT live with new #lendtech Infosys @Finacle: https://t.co/5fYRoBw1mx #fintech #lending #bankingtechnolo\xc3\xa2\xe2\x82\xac\xc2\xa6,: Malta 's live with new Infosys : \xc3\xa2\xe2\x82\xac\xc2\xa6,0.5681818181818181
1/26/2012,@BankingTechno: Mediterranean Bank live with new #lendtech Infosys Finacle: https://t.co/5fYRoBw1mx #lending #fintech #bankingtech #Mal\xc3\xa2\xe2\x82\xac\xc2\xa6,: Mediterranean Bank live with new Infosys Finacle : \xc3\xa2\xe2\x82\xac\xc2\xa6,0.5681818181818181
1/27/2012,@DeependerSHooda: As one who started out as Software Engineer at @Infosys I feel sad at ongoing. Infy needs to preserve what it stood f\xc3\xa2\xe2\x82\xac\xc2\xa6,: As one who started out as Software Engineer at I feel sad at ongoing . Infy needs to preserve what it stood f\xc3\xa2\xe2\x82\xac\xc2\xa6,0.25
1/30/2012,@TheQuint: Senior employees of IT giant Infosys have allegedly been receiving vulgar emails defaming the company.\nhttps://t.co/T9X3RYjvYM,: Senior employees of IT giant Infosys have allegedly been receiving vulgar emails defaming the company.\n,0.3666666666666667
1/31/2012,Infosys Limited $INFY vs. SCIENCE APPLICATIONS INTERNATIONAL CORPORATION $SAIC Critical Review https://t.co/sDAu3cdKde,Infosys Limited $ INFY vs. SCIENCE APPLICATIONS INTERNATIONAL CORPORATION $ SAIC Critical Review,0.4880952380952381
1/2/2012,@Mysuru_Infra: Hebbal lake mysuru undergoing massive rejuvenation. Works taken by @Infosys under CSR grants to tune of 30cr #Mysore http\xc3\xa2\xe2\x82\xac\xc2\xa6,: Hebbal lake mysuru undergoing massive rejuvenation . Works taken by under CSR grants to tune of cr http\xc3\xa2\xe2\x82\xac\xc2\xa6,0.5
2/2/2012,Hebbal lake mysuru undergoing massive rejuvenation. Works taken by @Infosys under CSR grants to tune of 30cr #Mysore https://t.co/s2LBJZrJrW,Hebbal lake mysuru undergoing massive rejuvenation . Works taken by under CSR grants to tune of cr,0.5
3/2/2012,.@sureshpprabhu MCA call centers not able to solve it complaint SR603367 plz help us out @Infosys,. MCA call centers not able to solve it complaint SR603367 plz help us out,0.3625
6/2/2012,@doodleout @Hipsteroo7 @JagoSarbahaara Yes Infosys and Wipro and HCL and TCS and TVS did not create employment,Yes Infosys and Wipro and HCL and TCS and TVS did not create employment,0.5
7/2/2012,Wr met Infosys  technical person in chennai he is unable to answer or soour issue at seva\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/gFlDlJ1HUw,Wr met Infosys technical person in chennai he is unable to answer or soour issue at seva\xc3\xa2\xe2\x82\xac\xc2\xa6,0.375
8/2/2012,Huawei and Infosys : The signing of this memorandum is a milestone for both companies. https://t.co/Qa5Rmv1XIo,Huawei and Infosys : The signing of this memorandum is a milestone for both companies .,0.5
9/2/2012,@PurposefulAI: With #InfosysNia amplify #Enterprise business capabilities at @oracleopenworld Booth #1602: https://t.co/ot4YxS3pFS #Info\xc3\xa2\xe2\x82\xac\xc2\xa6,: With amplify business capabilities at Booth : \xc3\xa2\xe2\x82\xac\xc2\xa6,0.5
10/2/2012,Infosys Files Complaint Over Vulgar and Defamatory Emails to Staff https://t.co/sPOY6LO7kk,Infosys Files Complaint Over Vulgar and Defamatory Emails to Staff,0.25
2/13/2012,Senior employees of IT giant Infosys have allegedly been receiving vulgar emails defaming the company.\nhttps://t.co/T9X3RYjvYM,Senior employees of IT giant Infosys have allegedly been receiving vulgar emails defaming the company.\n,0.3666666666666667
2/14/2012,@indian24news: Infosys Micro Focus SUSE Launch Private Cloud Solution https://t.co/d8lROpfqqY #news #Technology https://t.co/kNoPyrs41p,: Infosys Micro Focus SUSE Launch Private Cloud Solution,0.5
2/15/2012,Infosys Micro Focus SUSE Launch Private Cloud Solution https://t.co/d8lROpfqqY #news #Technology https://t.co/kNoPyrs41p,Infosys Micro Focus SUSE Launch Private Cloud Solution,0.5
2/16/2012,@NandanNilekani Wishing Infosys a turnaround &amp; a game changing year under your proven leadership,Wishing Infosys a turnaround & amp ; a game changing year under your proven leadership,0.3
2/17/2012,"@ragavqualtrus @Anil_Tulsiram Infosys starts from ""Profit for the period""",Infosys starts from `` Profit for the period '',0.5
2/21/2012,Sample PESTEL Analysis of Infosys https://t.co/pGWfXc5k6f,Sample PESTEL Analysis of Infosys,0.5
